technician_id,name,station,skills,authorisation,shift,hourly_rate_eur,available_from
TECH-1001,Miguel Tanaka,FRA,STRUCTURES|ATA25-CABIN,B2,14:00-22:00,110,2026-09-01T22:00:00Z
TECH-1002,Lena Okafor,FRA,ATA25-CABIN|ATA23-IFE,B1,22:00-06:00,110,2026-09-02T19:00:00Z
TECH-1003,Quentin Keller,FRA,ATA25-CABIN|AVIONICS-CAN,CAT-A,14:00-22:00,110,2026-09-02T22:00:00Z
TECH-1004,Greta Okafor,FRA,STRUCTURES|ATA23-IFE,CAT-A,22:00-06:00,110,2026-09-03T05:00:00Z
TECH-1005,Rosa Bauer,FRA,STRUCTURES|AVIONICS-CAN|ATA23-IFE,CAT-A,14:00-22:00,110,2026-09-01T13:00:00Z
TECH-1006,Omar Pereira,FRA,STRUCTURES|AVIONICS-CAN|ATA23-IFE,B2,22:00-06:00,110,2026-09-02T23:00:00Z
TECH-1007,Jonas Richter,MUC,ATA25-CABIN,CAT-A,06:00-14:00,110,2026-09-01T21:00:00Z
TECH-1008,Elif Bauer,MUC,ATA23-IFE|STRUCTURES,B1,06:00-14:00,110,2026-09-02T19:00:00Z
TECH-1009,Nadia Tanaka,MUC,UPHOLSTERY,B2,22:00-06:00,110,2026-09-03T12:00:00Z
TECH-1010,Elif Bauer,MUC,UPHOLSTERY|ATA23-IFE,B1,14:00-22:00,110,2026-09-01T05:00:00Z
TECH-1011,Rosa Iqbal,MUC,STRUCTURES|UPHOLSTERY|ATA25-CABIN,B1,14:00-22:00,110,2026-09-01T14:00:00Z
TECH-1012,Tanja Richter,MUC,STRUCTURES|AVIONICS-CAN|ATA23-IFE,CAT-A,22:00-06:00,110,2026-09-02T05:00:00Z
TECH-1013,Hiroshi Jansen,SIN,UPHOLSTERY|STRUCTURES|ATA23-IFE,CAT-A,22:00-06:00,110,2026-09-01T08:00:00Z
TECH-1014,Hiroshi Jansen,SIN,ATA25-CABIN|AVIONICS-CAN,CAT-A,14:00-22:00,110,2026-09-03T02:00:00Z
TECH-1015,Hiroshi Nowak,SIN,ATA23-IFE,B2,22:00-06:00,110,2026-09-01T02:00:00Z
TECH-1016,Rosa Pereira,SIN,UPHOLSTERY|AVIONICS-CAN,CAT-A,06:00-14:00,110,2026-09-01T13:00:00Z
TECH-1017,Sven Nowak,JFK,STRUCTURES|ATA25-CABIN,CAT-A,06:00-14:00,110,2026-09-02T09:00:00Z
TECH-1018,Petra Iqbal,JFK,UPHOLSTERY|ATA23-IFE,CAT-A,14:00-22:00,110,2026-09-02T00:00:00Z
TECH-1019,Farid Pereira,JFK,AVIONICS-CAN|UPHOLSTERY,B2,22:00-06:00,110,2026-09-03T00:00:00Z
TECH-1020,Chiara Okafor,JFK,STRUCTURES|ATA25-CABIN,B2,14:00-22:00,110,2026-09-01T01:00:00Z
TECH-1021,Greta Pereira,GRU,UPHOLSTERY|AVIONICS-CAN,CAT-A,14:00-22:00,110,2026-09-02T08:00:00Z
TECH-1022,Petra Bauer,GRU,AVIONICS-CAN|ATA25-CABIN,B1,14:00-22:00,110,2026-09-01T20:00:00Z
TECH-1023,Alex Iqbal,HND,ATA25-CABIN,B2,06:00-14:00,110,2026-09-03T04:00:00Z
TECH-1024,Petra Engel,HND,ATA23-IFE,B2,14:00-22:00,110,2026-09-03T08:00:00Z
TECH-1025,Farid Keller,HND,ATA23-IFE|ATA25-CABIN,B1,22:00-06:00,110,2026-09-01T09:00:00Z
TECH-1026,Greta Duarte,HND,UPHOLSTERY|STRUCTURES|AVIONICS-CAN,B2,06:00-14:00,110,2026-09-03T09:00:00Z
TECH-1027,Bilal Moreau,JNB,STRUCTURES|ATA25-CABIN|AVIONICS-CAN,CAT-A,22:00-06:00,110,2026-09-02T02:00:00Z
TECH-1028,Petra Engel,JNB,AVIONICS-CAN|ATA25-CABIN|ATA23-IFE,CAT-A,14:00-22:00,110,2026-09-03T14:00:00Z
